name,stars,language,forks_count,watchers,last_push,created_at,description,url
VectorHub-Versatile-Vector-Search-Analytics,0,Python,0,0,2025-03-14 09:05:13+00:00,2025-03-09 17:01:29+00:00,VectorHub: Versatile Vector Search & Analytics,https://github.com/SakibAhmedShuva/VectorHub-Versatile-Vector-Search-Analytics
Transformer-Based-Chatbot,0,Jupyter Notebook,0,0,2024-11-14 18:16:05+00:00,2024-10-15 18:36:20+00:00,Transformer Based Chatbot,https://github.com/SakibAhmedShuva/Transformer-Based-Chatbot
Training-YOLOv8-on-Google-Colab,0,Jupyter Notebook,0,0,2024-10-09 10:47:30+00:00,2024-10-09 10:23:23+00:00,This repository provides the code and instructions for training YOLOv8 (You Only Look Once) on Google Colab.,https://github.com/SakibAhmedShuva/Training-YOLOv8-on-Google-Colab
Training-YOLOv11-on-Google-Colab,0,Jupyter Notebook,0,0,2024-10-09 10:47:52+00:00,2024-10-08 16:43:53+00:00,This repository provides the code and instructions for training YOLOv11 (You Only Look Once) on Google Colab.,https://github.com/SakibAhmedShuva/Training-YOLOv11-on-Google-Colab
Training-XLM-Roberta-with-spaCy-on-Google-Colab,0,Jupyter Notebook,0,0,2024-10-13 18:11:14+00:00,2024-10-11 13:28:14+00:00,"A guide for training the XLM Roberta model on Google Colab, featuring step-by-step instructions and code snippets with the option for saving the files directly on your google drive.",https://github.com/SakibAhmedShuva/Training-XLM-Roberta-with-spaCy-on-Google-Colab
Training-XLM-Roberta-with-Hugging-Face-on-Google-Colab,0,Jupyter Notebook,0,0,2024-11-14 18:11:17+00:00,2024-10-17 16:56:12+00:00,Training-XLM-Roberta-with-Hugging Face-on-Google-Colab,https://github.com/SakibAhmedShuva/Training-XLM-Roberta-with-Hugging-Face-on-Google-Colab
Tiff-to-JPG-Converter,0,Python,0,0,2024-11-30 12:02:57+00:00,2024-11-30 11:58:01+00:00,Tiff to JPG,https://github.com/SakibAhmedShuva/Tiff-to-JPG-Converter
Surya-OCR,0,Jupyter Notebook,0,0,2025-05-21 03:45:48+00:00,2025-05-19 17:48:15+00:00,Surya OCR,https://github.com/SakibAhmedShuva/Surya-OCR
Special-Encoding-Analysis-Tool,0,Jupyter Notebook,0,0,2024-12-16 17:47:38+00:00,2024-12-13 17:43:33+00:00,N/A,https://github.com/SakibAhmedShuva/Special-Encoding-Analysis-Tool
Speaker-Diarization-Using-pyannote,0,Jupyter Notebook,0,0,2025-02-13 17:55:24+00:00,2025-02-02 16:52:36+00:00,Speaker-Diarization-Using-pyannote,https://github.com/SakibAhmedShuva/Speaker-Diarization-Using-pyannote
Smart-VIN-Scanner,0,Python,0,0,2025-02-19 06:13:12+00:00,2025-02-19 05:47:34+00:00,Smart-VIN-Scanner,https://github.com/SakibAhmedShuva/Smart-VIN-Scanner
Smart-File-Renamer,0,Jupyter Notebook,0,0,2025-05-04 04:34:17+00:00,2025-05-04 04:26:49+00:00,Smart File Renamer,https://github.com/SakibAhmedShuva/Smart-File-Renamer
Simple-QA-ChatBot-Flask-API-No-Training-Required,0,HTML,0,0,2024-10-03 10:55:25+00:00,2024-09-17 16:34:34+00:00,Simple & Easy to Maintain QA Based ChatBot (No Training Required),https://github.com/SakibAhmedShuva/Simple-QA-ChatBot-Flask-API-No-Training-Required
Sentiment-Analysis-with-Transformers,0,Jupyter Notebook,0,0,2024-11-16 15:31:39+00:00,2024-10-15 18:18:58+00:00,Sentiment Analysis with Transformers,https://github.com/SakibAhmedShuva/Sentiment-Analysis-with-Transformers
segmentation-training-yolov12,0,Jupyter Notebook,0,0,2025-05-03 05:40:13+00:00,2025-05-03 05:34:19+00:00,segmentation-training-yolov12,https://github.com/SakibAhmedShuva/segmentation-training-yolov12
SakibAhmedShuva,0,,0,0,2024-11-03 09:54:58+00:00,2024-10-04 08:35:44+00:00,Config files for my GitHub profile.,https://github.com/SakibAhmedShuva/SakibAhmedShuva
S3-File-Manager,0,HTML,0,0,2024-12-16 17:55:02+00:00,2024-12-10 17:24:04+00:00,S3 File Manager (HTML Version),https://github.com/SakibAhmedShuva/S3-File-Manager
Roboflow-CLI-Dataset-Uploader,0,Jupyter Notebook,0,0,2025-04-04 04:37:36+00:00,2025-03-30 06:31:52+00:00,Roboflow CLI Dataset Uploader,https://github.com/SakibAhmedShuva/Roboflow-CLI-Dataset-Uploader
Jupyter-Real-Time-Resource-Monitor,0,Jupyter Notebook,0,0,2025-05-12 17:17:36+00:00,2025-05-12 17:08:30+00:00,Jupyter Real-Time Resource Monitor,https://github.com/SakibAhmedShuva/Jupyter-Real-Time-Resource-Monitor
IBM-Applied-AI-Eng-Chatbot,0,,0,0,2023-12-17 16:47:53+00:00,2023-12-17 16:30:22+00:00,N/A,https://github.com/SakibAhmedShuva/IBM-Applied-AI-Eng-Chatbot
JSON-to-Auto-NER-Inference-Hugging-Face-API,0,,0,0,2024-12-03 17:55:29+00:00,2024-11-01 15:55:25+00:00,JSON to Auto Inference Hugging Face API,https://github.com/SakibAhmedShuva/JSON-to-Auto-NER-Inference-Hugging-Face-API
Combine-Multiple-Label-Studio-JSON,0,Jupyter Notebook,0,0,2024-11-26 18:22:07+00:00,2024-11-26 18:16:06+00:00,Combine Multiple Label Studio JSON,https://github.com/SakibAhmedShuva/Combine-Multiple-Label-Studio-JSON
DataScienceEcosystem.ipynb,0,,0,0,2023-07-25 16:20:15+00:00,2023-07-25 16:20:15+00:00,N/A,https://github.com/SakibAhmedShuva/DataScienceEcosystem.ipynb
CoNLL-Toolkit,0,Jupyter Notebook,0,0,2024-12-08 17:21:24+00:00,2024-10-13 17:13:06+00:00,"A powerful Jupyter Notebook-based toolkit for effortlessly managing, analyzing, and modifying CoNLL format annotations. Perfect for NLP researchers and practitioners working with named entity recognition (NER) datasets. ",https://github.com/SakibAhmedShuva/CoNLL-Toolkit
CoNLL-to-Text-Converter,0,Jupyter Notebook,0,0,2024-11-28 13:11:42+00:00,2024-10-11 10:22:31+00:00,Convert your CoNLL files to texts files where each line is separated by a new sentence. Easily import this raw text file to Label Studio or other annotation platforms.,https://github.com/SakibAhmedShuva/CoNLL-to-Text-Converter
CoNLL-to-Label-Studio-JSON-Converter,0,Jupyter Notebook,0,0,2024-12-11 18:36:36+00:00,2024-10-11 14:28:12+00:00,Convert your annotated/labelled CoNLL files to JSON files. Easily import this JSON to Label Studio or other annotation platforms retaining all annotations and labels.,https://github.com/SakibAhmedShuva/CoNLL-to-Label-Studio-JSON-Converter
CoNLL-to-Hugging-Face-JSON,0,Jupyter Notebook,0,0,2024-10-30 03:03:34+00:00,2024-10-14 17:10:06+00:00,Converts CoNLL format data to JSON format compatible with Hugging Face datasets ready to train your custom model.,https://github.com/SakibAhmedShuva/CoNLL-to-Hugging-Face-JSON
CoNLL-Splitter,0,Jupyter Notebook,0,0,2024-11-16 15:45:47+00:00,2024-10-13 15:49:36+00:00,N/A,https://github.com/SakibAhmedShuva/CoNLL-Splitter
CoNLL-Non-ASCII-Tokens-Cleaner,0,Jupyter Notebook,0,0,2024-10-31 15:54:14+00:00,2024-10-30 18:45:18+00:00,Cleaning Non-ASCII Tokens from CoNLL,https://github.com/SakibAhmedShuva/CoNLL-Non-ASCII-Tokens-Cleaner
CoNLL-NER-Tag-Frequency-Balancer,0,Jupyter Notebook,0,0,2024-11-04 16:39:19+00:00,2024-11-02 14:55:20+00:00,CoNLL NER Tag Frequency Balancer,https://github.com/SakibAhmedShuva/CoNLL-NER-Tag-Frequency-Balancer
